text,mood,sentiment_score,category
I stayed up till 4am finishing my project and now I feel like a zombie.,stressed,-0.75,Sleep
"The exam was way harder than I expected, I'm worried I'll fail.",anxious,-0.8,Exams
I finally understand how recursion works! So happy.,calm,0.85,Academics
My parents are pressuring me to get a higher CGPA but I'm already doing my best.,stressed,-0.65,Family
I just want to quit everything and sleep for a week.,overwhelmed,-0.9,Motivation
"Found a great study buddy today, feeling much more hopeful.",hopeful,0.6,Social
"I can't focus on this OS lab, the social media notifications are too distracting.",stressed,-0.4,Focus
Got an A in the mid-sems! Celebration time.,calm,0.9,Academics
I'm feeling really lonely in the hostel lately.,sad,-0.7,Social
The placement season is starting and I don't feel prepared at all.,anxious,-0.75,Career
Variation: I stayed up till 4am finishing my project and now I feel like a zombie.,stressed,-0.75,Sleep
"Variation: The exam was way harder than I expected, I'm worried I'll fail.",anxious,-0.8,Exams
Variation: I finally understand how recursion works! So happy.,calm,0.85,Academics
Variation: My parents are pressuring me to get a higher CGPA but I'm already doing my best.,stressed,-0.65,Family
Variation: I just want to quit everything and sleep for a week.,overwhelmed,-0.9,Motivation
"Variation: Found a great study buddy today, feeling much more hopeful.",hopeful,0.6,Social
"Variation: I can't focus on this OS lab, the social media notifications are too distracting.",stressed,-0.4,Focus
Variation: Got an A in the mid-sems! Celebration time.,calm,0.9,Academics
Variation: I'm feeling really lonely in the hostel lately.,sad,-0.7,Social
Variation: The placement season is starting and I don't feel prepared at all.,anxious,-0.75,Career
Variation: I stayed up till 4am finishing my project and now I feel like a zombie.,stressed,-0.75,Sleep
"Variation: The exam was way harder than I expected, I'm worried I'll fail.",anxious,-0.8,Exams
Variation: I finally understand how recursion works! So happy.,calm,0.85,Academics
Variation: My parents are pressuring me to get a higher CGPA but I'm already doing my best.,stressed,-0.65,Family
Variation: I just want to quit everything and sleep for a week.,overwhelmed,-0.9,Motivation
"Variation: Found a great study buddy today, feeling much more hopeful.",hopeful,0.6,Social
"Variation: I can't focus on this OS lab, the social media notifications are too distracting.",stressed,-0.4,Focus
Variation: Got an A in the mid-sems! Celebration time.,calm,0.9,Academics
Variation: I'm feeling really lonely in the hostel lately.,sad,-0.7,Social
Variation: The placement season is starting and I don't feel prepared at all.,anxious,-0.75,Career
Variation: I stayed up till 4am finishing my project and now I feel like a zombie.,stressed,-0.75,Sleep
"Variation: The exam was way harder than I expected, I'm worried I'll fail.",anxious,-0.8,Exams
Variation: I finally understand how recursion works! So happy.,calm,0.85,Academics
Variation: My parents are pressuring me to get a higher CGPA but I'm already doing my best.,stressed,-0.65,Family
Variation: I just want to quit everything and sleep for a week.,overwhelmed,-0.9,Motivation
"Variation: Found a great study buddy today, feeling much more hopeful.",hopeful,0.6,Social
"Variation: I can't focus on this OS lab, the social media notifications are too distracting.",stressed,-0.4,Focus
Variation: Got an A in the mid-sems! Celebration time.,calm,0.9,Academics
Variation: I'm feeling really lonely in the hostel lately.,sad,-0.7,Social
Variation: The placement season is starting and I don't feel prepared at all.,anxious,-0.75,Career
Variation: I stayed up till 4am finishing my project and now I feel like a zombie.,stressed,-0.75,Sleep
"Variation: The exam was way harder than I expected, I'm worried I'll fail.",anxious,-0.8,Exams
Variation: I finally understand how recursion works! So happy.,calm,0.85,Academics
Variation: My parents are pressuring me to get a higher CGPA but I'm already doing my best.,stressed,-0.65,Family
Variation: I just want to quit everything and sleep for a week.,overwhelmed,-0.9,Motivation
"Variation: Found a great study buddy today, feeling much more hopeful.",hopeful,0.6,Social
"Variation: I can't focus on this OS lab, the social media notifications are too distracting.",stressed,-0.4,Focus
Variation: Got an A in the mid-sems! Celebration time.,calm,0.9,Academics
Variation: I'm feeling really lonely in the hostel lately.,sad,-0.7,Social
Variation: The placement season is starting and I don't feel prepared at all.,anxious,-0.75,Career
Variation: I stayed up till 4am finishing my project and now I feel like a zombie.,stressed,-0.75,Sleep
"Variation: The exam was way harder than I expected, I'm worried I'll fail.",anxious,-0.8,Exams
Variation: I finally understand how recursion works! So happy.,calm,0.85,Academics
Variation: My parents are pressuring me to get a higher CGPA but I'm already doing my best.,stressed,-0.65,Family
Variation: I just want to quit everything and sleep for a week.,overwhelmed,-0.9,Motivation
"Variation: Found a great study buddy today, feeling much more hopeful.",hopeful,0.6,Social
"Variation: I can't focus on this OS lab, the social media notifications are too distracting.",stressed,-0.4,Focus
Variation: Got an A in the mid-sems! Celebration time.,calm,0.9,Academics
Variation: I'm feeling really lonely in the hostel lately.,sad,-0.7,Social
Variation: The placement season is starting and I don't feel prepared at all.,anxious,-0.75,Career
Variation: I stayed up till 4am finishing my project and now I feel like a zombie.,stressed,-0.75,Sleep
"Variation: The exam was way harder than I expected, I'm worried I'll fail.",anxious,-0.8,Exams
Variation: I finally understand how recursion works! So happy.,calm,0.85,Academics
Variation: My parents are pressuring me to get a higher CGPA but I'm already doing my best.,stressed,-0.65,Family
Variation: I just want to quit everything and sleep for a week.,overwhelmed,-0.9,Motivation
